feature,xgb_importance
low_battery_ratio_roll5_max,0.0008150977198965847
robot_active_roll5_min,0.000812930439133197
robot_active_roll5_mean,0.0008082759915851057
bottle_neck_roll5_std,0.0008081221021711826
risk_index_roll10_max,0.0008080926490947604
order_per_station_lag5,0.0008064279914833606
low_battery_ratio_roll5_min,0.0008057297207415103
robot_efficiency_lag2,0.0008020645822398364
congestion_score_roll5_mean,0.0007994686253368855
order_pressure_lag3,0.0007985397125594318
blocked_path_15m,0.0007980913971550763
robot_efficiency_scen_max,0.0007937612012028694
order_per_station_roll10_std,0.0007864575367420912
low_battery_ratio_roll10_min,0.000784839759580791
low_battery_ratio_roll10_std,0.0007798010832630098
lowbat_x_eff,0.0007778132101520896
risk_index_roll5_max,0.0007762818248011171
congestion_score_roll10_min,0.0007756997365504503
congestion_score_roll5_max,0.0007730533136054874
battery_risk_roll10_std,0.0007716543274000287
battery_risk_ewm_mean,0.0007701825234107673
pack_utilization_roll5_std,0.0007696593878790736
congestion_score_lag2,0.0007692524581216275
robot_efficiency_scen_mean,0.0007680098176933825
bottle_neck_lag2,0.0007663028198294341
low_battery_ratio_roll5_mean,0.0007642164709977806
low_battery_ratio_roll3_max,0.000763292529154569
congestion_score_roll10_max,0.0007622414035722613
order_pressure_lag5,0.0007616570917889475
order_inflow_15m_lag2,0.0007606746861711144
robot_efficiency_roll5_min,0.0007597656571306288
bottle_neck_roll5_mean,0.0007597114774398506
layout_compactness,0.0007578627555631101
bottle_neck_roll3_std,0.0007547259563580155
pack_utilization_scen_max,0.0007534716743975878
bottle_neck_lag5,0.0007518696482293307
bottle_neck_lag1,0.0007517551770433783
low_battery_ratio_lag1,0.0007514219381846487
battery_risk_roll5_min,0.0007506233756430447
low_battery_ratio_roll3_mean,0.0007479355204850435
pack_utilization_diff1,0.0007478726911358535
battery_risk_roll10_max,0.0007472079363651573
order_per_station_lag4,0.0007467781892046332
pack_utilization_roll10_max,0.000745778949931264
pack_utilization_roll5_max,0.0007444737362675369
sku_concentration_roll3_mean,0.0007438164670020342
bottle_neck_roll10_std,0.0007436073501594365
order_pressure_lag2,0.0007430710829794407
battery_risk_roll3_min,0.0007408285629935563
robot_active_ewm_mean,0.0007406763266772032
robot_idle_roll10_std,0.0007402457064017654
robot_active_lag2,0.0007367003476247191
v13_ts_sin,0.0007346448139287532
robot_efficiency_scen_std,0.0007334292400628329
max_zone_density_roll10_max,0.0007330574560910463
max_zone_density_roll5_max,0.0007326486986130476
robot_idle_roll10_max,0.0007314034504815936
robot_efficiency_roll10_min,0.0007296986412256956
order_per_station_lag3,0.0007289516506716609
order_inflow_15m_roll10_min,0.0007279357174411416
outbound_truck_wait_min_roll5_min,0.0007272435235790908
battery_risk_roll5_std,0.0007252947194501758
robot_efficiency_lag1,0.0007248912588693202
avg_trip_distance_exp_mean,0.0007219593622721732
robot_idle_roll5_max,0.0007206143345683813
order_per_station_lag1,0.0007197369239293038
battery_risk_scen_std,0.0007186627597548067
bottle_neck_diff1,0.0007169386954046786
order_per_station_diff2,0.0007143210619688034
pack_utilization_roll3_std,0.0007142078480683267
low_battery_ratio_lag5,0.0007121011847630143
sku_concentration_ewm_mean,0.0007111047045327723
pack_utilization_diff2,0.0007098781294189394
risk_index_roll5_std,0.0007067610858939588
avg_trip_distance_roll10_min,0.0007052479544654488
order_inflow_15m_roll3_min,0.0007033402100205422
congestion_score_roll5_std,0.0007012609043158591
battery_risk_roll5_max,0.0006934995879419148
risk_index_scen_min,0.0006932810414582491
battery_risk_roll5_mean,0.0006899894215166569
robot_efficiency,0.0006881871726363897
robot_idle_roll3_mean,0.0006880974746309221
pack_utilization_roll10_std,0.0006874889484606683
avg_trip_distance_roll10_mean,0.0006871414720080793
v13_ts_cos,0.0006867761490866542
sku_concentration_roll5_mean,0.0006859693326987326
battery_risk_scen_max,0.0006841611932031811
order_inflow_15m_roll5_min,0.0006825657328590751
battery_cv_ewm_mean,0.0006820641341619193
robot_active_lag1,0.0006808480597101152
sku_concentration_roll10_mean,0.000680827908217907
outbound_truck_wait_min_exp_mean,0.0006797155947424471
battery_cv_roll5_max,0.0006772855529561638
low_battery_ratio_roll5_std,0.0006772565422579647
bottle_neck_lag3,0.0006746364873833954
order_per_station_roll5_std,0.00067375652724877
battery_risk_lag1,0.0006733998190611601
battery_mean_scen_std,0.0006726069957949221
robot_idle_scen_std,0.0006706484942696989
