feature,lgb_importance
robot_active_lag5,686.2
order_inflow_15m_roll10_mean,685.4
order_per_station_roll5_max,682.6
order_pressure_roll10_std,678.0
ts_x_order_per_station,676.0
timeslot_te,672.2
battery_cv_lag3,671.8
robot_idle_roll3_mean,670.6
congestion_score_scen_rank,670.4
pack_utilization_lag3,661.8
robot_active_lag4,660.8
order_per_station_roll5_mean,659.4
order_per_station_lag2,658.8
robot_active_roll10_mean,656.0
robot_efficiency_roll3_mean,655.0
order_inflow_15m_lag2,654.0
order_inflow_15m_diff2,651.6
order_pressure_lag4,651.2
max_zone_density,648.6
robot_idle_roll5_mean,647.4
robot_idle_roll10_max,644.8
battery_cv,644.4
robot_active_ewm_mean,643.0
robot_total_lag1,642.4
robot_efficiency_roll10_mean,640.8
robot_idle_lag5,634.4
pack_utilization_lag1,631.8
order_pressure_lag3,631.6
robot_idle_roll5_std,627.2
robot_active_roll5_mean,625.0
robot_efficiency,624.4
robot_idle_ewm_mean,621.2
pack_utilization_lag2,619.2
sku_concentration_lag3,616.4
bottle_neck_exp_mean,616.2
order_pressure_roll3_std,612.2
v13_ts_cos,606.6
order_pressure_roll5_min,599.8
order_pressure_roll5_std,599.0
pack_utilization_roll10_max,594.8
order_inflow_15m_roll3_max,594.6
order_inflow_15m_roll5_mean,594.0
battery_cv_roll10_mean,590.2
order_per_station_roll10_mean,588.8
pack_utilization_roll5_mean,587.6
robot_efficiency_roll5_mean,584.8
pack_utilization_ewm_mean,578.4
robot_efficiency_ewm_mean,577.2
order_inflow_15m_ewm_mean,573.4
congestion_score_exp_mean,569.4
robot_idle_lag3,568.8
risk_index_roll10_max,564.4
robot_efficiency_roll3_max,562.4
congestion_score_rel_to_scen,559.2
pack_utilization_roll3_mean,559.2
robot_active_roll5_std,558.6
order_inflow_15m_roll3_mean,558.0
battery_cv_roll5_min,557.0
order_per_station_roll3_max,556.2
battery_cv_lag2,555.6
robot_idle_lag4,553.0
order_per_station_roll3_mean,550.4
robot_total_roll3_mean,523.6
max_zone_density_roll10_max,520.8
risk_index,519.4
robot_idle_roll10_min,518.4
battery_cv_roll3_min,516.8
robot_active,507.4
pack_utilization_roll3_max,502.4
robot_active_lag2,500.2
robot_idle_roll3_std,498.8
robot_active_roll10_min,496.8
robot_active_roll3_mean,496.8
robot_idle_lag2,491.2
robot_idle_lag1,489.4
robot_active_lag3,486.8
pack_utilization_roll5_max,473.6
bottle_neck_roll10_max,467.8
risk_index_roll10_mean,466.2
robot_active_roll10_max,464.0
congestion_score_roll10_max,449.0
order_pressure_lag2,445.2
robot_idle_diff2,429.6
order_per_station_ewm_mean,429.0
robot_idle_roll5_max,419.4
robot_idle_roll3_max,416.8
max_zone_density_roll10_mean,416.2
v13_sqrt_order_inflow,414.2
battery_cv_lag1,413.2
order_pressure_exp_mean,411.0
sku_concentration_roll3_min,409.6
congestion_score_roll10_std,403.2
congestion_score,401.0
bottle_neck,400.6
max_zone_density_roll10_std,397.6
robot_idle_roll5_min,397.6
robot_idle_roll3_min,394.2
robot_active_roll3_std,393.8
avg_trip_distance_ewm_mean,392.2
robot_idle_diff1,389.8
battery_cv_roll3_mean,387.4
cong_x_trip,383.2
robot_active_diff1,381.2
battery_cv_roll3_max,381.0
risk_index_roll10_std,367.2
order_pressure,366.8
max_zone_density_ewm_mean,366.6
robot_active_lag1,362.4
layout_type,359.4
order_pressure_roll3_min,353.6
bottle_neck_roll10_mean,352.4
v13_ts_sin,352.0
risk_index_ewm_mean,350.0
bottle_neck_ewm_mean,339.6
robot_active_roll3_min,337.6
robot_active_roll5_min,333.8
