feature,lgb_importance,xgb_importance,cat_importance,mean_importance
wind_speed_kmh,15693.6,0.00037386707845143974,0.06197698580292884,5231.220783617627
express_lane_util,15672.0,0.00043232724419794977,0.057084570765320176,5224.019172299337
maintenance_schedule_score,15671.2,0.0004391387919895351,0.0545668941152778,5223.751668677636
cross_dock_ratio,15645.0,0.00045774109312333164,0.06413645470965408,5215.021531398601
charge_efficiency_pct,15632.4,0.0004496430803555995,0.0757536485560425,5210.825401097212
wifi_signal_db,15621.8,0.0004103907151147723,0.07442255584809691,5207.291610982188
aisle_traffic_score,15612.8,0.0004862419969867915,0.11824124048843088,5204.306242494162
network_latency_ms,15590.4,0.0004174311587121338,0.059333889744917066,5196.819917106967
pallet_wrap_time_min,15589.2,0.00044257455156184735,0.09174227557596873,5196.430728283376
robot_calibration_score,15501.4,0.00044275664258748294,0.06813633905833366,5167.156193031899
safety_score_monthly,15495.4,0.00041517792851664126,0.054000125423848445,5165.151471767784
shift_handover_delay_min,15490.4,0.000472939049359411,0.07833703218620215,5163.492936657079
return_order_ratio,15445.4,0.00038991590845398604,0.05184025108594768,5148.484076722331
hvac_power_kw,15441.4,0.0004000410728622228,0.04526579811258476,5147.1485552797285
storage_density_pct,15429.8,0.00046182528021745386,0.08687957744463644,5143.295780467574
ups_battery_pct,15392.4,0.0004108690482098609,0.07096186272296522,5130.82379091059
vertical_utilization,15358.0,0.0004481804382521659,0.060235305425714966,5119.3535611619545
ambient_noise_db,15345.0,0.0003833126742392778,0.07657299834759643,5115.025652103674
precipitation_mm,15297.0,0.0003789651789702475,0.07697361423069907,5099.025784193136
prev_shift_volume,15283.2,0.00044201192213222384,0.09089717131220246,5094.430446394412
intersection_wait_time_avg,15253.8,0.0004694418224971741,0.06937584154673862,5084.623281761123
barcode_read_success_rate,15231.6,0.0004225036536809057,0.0728159035602844,5077.224412802405
backorder_ratio,15228.0,0.0004559056484140456,0.07829182219882194,5076.026249242616
pick_list_length_avg,15227.0,0.00044913137098774315,0.09189926826148812,5075.697449466544
inventory_turnover_rate,15212.8,0.0004343647800851613,0.07733811723788672,5070.959257494006
external_temp_c,15210.6,0.0003755346173420548,0.05495144732736621,5070.218442327315
humidity_pct,15195.8,0.00036052967188879845,0.06754065311243544,5065.289300394261
avg_trip_distance_diff1,15175.4,0.0005055002402514219,0.048160890282715016,5058.482888796841
path_optimization_score,15135.0,0.00046107162488624455,0.06299687299759353,5045.021152648207
battery_cycle_count_avg,15120.6,0.000445302325533703,0.06593158957995159,5040.222125630635
scanner_error_rate,15112.6,0.00040387173648923633,0.05765804518002961,5037.552687305639
conveyor_speed_mps,15105.6,0.0004473791399504989,0.05678775483448023,5035.2190783779915
lighting_zone_variance,15101.6,0.0004201518720947206,0.08339796104461365,5033.894606037639
co2_level_ppm,15085.0,0.0004107062704861164,0.1131604049945472,5028.371190370422
pack_utilization_rel_to_scen,15075.6,0.0014018864370882512,0.15699307320901226,5025.2527983198825
staging_area_util,14964.6,0.0004414546070620418,0.052970040000601626,4988.217803831536
avg_idle_duration_min,14951.4,0.00045231475378386675,0.057408865666528607,4983.819287060141
warehouse_temp_avg,14763.8,0.00035461640800349414,0.05110644510728024,4921.283820353839
avg_trip_distance_diff2,14642.0,0.0005273381364531815,0.06470078045289337,4880.688409372863
kpi_otd_pct,14536.6,0.00048460910911671815,0.06917180483303145,4845.55655213798
outbound_truck_wait_min_roll3_std,14369.2,0.0004895281337667257,0.06283546185896513,4789.754441663331
loading_dock_util,14294.8,0.0004145896644331515,0.07605580010887346,4764.958823463257
outbound_truck_wait_min_diff1,14293.4,0.0005049955914728343,0.13907490563343455,4764.513193300408
outbound_truck_wait_min_diff2,14215.4,0.0004810821206774563,0.06382871268510368,4738.4881032649355
day_of_week_X_shift_hour_te,13937.2,0.0005038880626671016,0.0577871308877131,4645.752763672984
worker_avg_tenure_months,13929.0,0.0004043812048621476,0.07084472435885832,4643.023749701854
heavy_item_ratio,13737.4,0.0002756177331320941,0.07431876186723471,4579.158198126533
avg_items_per_order,13594.8,0.00031305130105465653,0.1155517094371212,4531.638621586912
cold_chain_ratio,13452.4,0.00032500955858267845,0.10414220722153589,4484.1681557389265
unique_sku_15m,13231.4,0.00028632705216296016,0.11647114536130954,4410.5055858241385
replenishment_overlap,13133.4,0.00044776303111575543,0.08209964181226725,4377.827515801614
avg_trip_distance_roll3_std,12834.2,0.0004973334958776832,0.045154723789355616,4278.081884019096
shift_hour_X_timeslot_te,12678.8,0.0005149935721419751,0.06160352291056538,4226.287372838827
outbound_truck_wait_min_roll5_std,12675.4,0.0005004997772630304,0.04632552310822961,4225.148942007628
target_roll10_mean,12458.6,0.040826272964477536,4.177318822555813,4154.272715031841
layout_id_X_shift_hour_te,12356.4,0.0005069821898359805,0.05140215467422051,4118.817303045621
layout_type_X_shift_hour_te,12309.2,0.0005128340038936585,0.05650847543063579,4103.085673769811
target_lag5,12231.0,0.0016008293488994241,0.7930604728868383,4077.2648871007455
battery_cv_diff1,12223.4,0.0006042992696166039,0.1250185566358611,4074.5085409519684
target_lag4,11996.6,0.0015411386732012034,0.7622103009502905,3999.121250479875
manual_override_ratio,11784.4,0.00043118372559547424,0.06950523075811214,3928.1566454714944
battery_cv_diff2,11430.4,0.0006698853569105268,0.07421881186343075,3810.158296232407
order_per_station_diff1,11060.0,0.0008777997107245028,0.28208006228442517,3686.7609859539984
order_per_station_scen_rank,11054.4,0.0009401334449648857,0.17498991313108858,3684.8586433488585
outbound_truck_wait_min_roll10_std,10981.6,0.0005127596145030111,0.044588545093840394,3660.5483671015695
pack_utilization_scen_rank,10975.0,0.0016025638207793236,0.18458462610030354,3658.395395729974
outbound_truck_wait_min,10894.4,0.0004777749301865697,0.03702645535660625,3631.4791680767626
day_of_week_X_layout_type_te,10880.8,0.000535140186548233,0.06220089209112226,3626.954245344092
pack_utilization_diff1,10836.8,0.0007478726911358535,0.035032154255487766,3612.278593342315
day_of_week_X_layout_id_te,10702.0,0.0005237543722614646,0.06220874058711277,3567.354244164986
urgent_order_ratio,10662.4,0.0002672881877515465,0.07459281530719164,3554.1582867011643
target_lag2,10248.8,0.010196398384869099,0.8299004145882931,3416.5466989376578
order_per_station_diff2,10101.6,0.0007143210619688034,0.11722118377487475,3367.239311834946
target_lag_min3,10089.0,0.01624170131981373,4.258886412647476,3364.425042704656
day_of_week_X_timeslot_te,10087.6,0.0006058884784579277,0.06549467083820301,3362.555366853106
avg_trip_distance_roll5_std,10048.2,0.000528484204551205,0.04311154477318507,3349.414546676326
target_lag3,10005.4,0.006636405736207962,0.43180185131288484,3335.2794794190163
order_inflow_15m_diff1,9984.0,0.0008232565829530359,0.20692755280495204,3328.069250269796
day_of_week_te,9889.6,0.00048601320013403894,0.07478173301181247,3296.5584225820708
pack_utilization_diff2,9804.4,0.0007098781294189394,0.050865850012208357,3268.150525242714
zone_dispersion,9632.6,0.0005487115471623838,0.050205357309039175,3210.8835846896186
battery_cv_roll3_std,9512.8,0.0005515003344044089,0.03880084343189834,3170.946450781255
staff_on_floor,9408.8,0.00041220138664357366,0.1022597793327571,3136.3008906602395
pack_utilization_roll3_std,9408.4,0.0007142078480683267,0.030669709946086754,3136.143794639265
order_inflow_15m_roll3_std,9317.6,0.0004992384288925678,0.04421113758893276,3105.8815701253393
battery_mean_scen_max,9310.2,0.000549740856513381,0.0720168066347853,3103.424188849164
order_per_station_roll3_std,9301.6,0.0005517559009604156,0.055908760383256054,3100.552153505428
outbound_truck_wait_min_lag4,9299.6,0.0005054723238572479,0.05668429244099351,3099.885729921589
floor_area_sqm,9233.4,0.0004958153236657381,0.029687973573284322,3077.8100612629655
layout_id_X_timeslot_te,9208.2,0.0005450042430311441,0.047915224261243346,3069.4161534095015
one_way_ratio,9132.8,0.0004998186661396176,0.043089583209525474,3044.2811964672915
battery_std,9119.6,0.0003338974143844098,0.04810034495055998,3039.882811414122
target_lag_max3,9052.6,0.017365640215575694,2.985854378625496,3018.5344066729467
order_inflow_15m_diff2,9027.6,0.000504951988114044,0.08407668952102058,3009.228193880503
shift_hour_te,9014.2,0.0004904274363070726,0.02705731309784797,3004.7425159135114
robot_efficiency_diff1,9008.8,0.000666680047288537,0.14275314739049916,3002.9811399424793
order_inflow_15m,9002.2,0.00039812957402318716,0.1361038823659631,3000.77883400398
layout_compactness,8986.2,0.0007578627555631101,0.13255367013775127,2995.4444371776312
ceiling_height_m,8826.6,0.0005080031172838062,0.03799774007428627,2942.2128352477303
outbound_truck_wait_min_lag5,8820.0,0.0004934732627589255,0.028758573599439334,2940.009750682287
aisle_width_avg,8785.2,0.0004971478309016674,0.04192305401448811,2928.4141400672816
outbound_truck_wait_min_lag1,8716.2,0.0004956787568517029,0.029790313734565244,2905.4100953308302
outbound_truck_wait_min_scen_std,8622.8,0.0005974779487587512,0.03472665943082938,2874.2784413791264
avg_trip_distance_roll10_std,8605.2,0.0005792847601696849,0.02863625510250335,2868.409738513288
robot_efficiency_diff2,8601.2,0.0005588832660578191,0.09320646587252776,2867.0979217830463
layout_type_X_timeslot_te,8595.0,0.0005878665833733976,0.046373935476246755,2865.01565393402
robot_efficiency_roll3_std,8577.4,0.0005492771510034799,0.05387791372911568,2859.1514757302934
robot_per_station,8529.6,0.0009891749359667301,0.13036970243870524,2843.2437862924585
fire_sprinkler_count,8484.4,0.0004989010340068489,0.03811467977032072,2828.1462045269345
outbound_truck_wait_min_lag3,8441.6,0.0004894515441264957,0.03575132997273896,2813.8787469271724
battery_mean,8359.6,0.0003929763799533248,0.04135377041396977,2786.547248915598
outbound_truck_wait_min_lag2,8317.4,0.0004924618580844254,0.05698118738611323,2772.4858245497485
order_wave_count,8051.4,0.000407734076725319,0.04928124270722669,2683.816562992261
battery_mean_scen_std,8019.4,0.0006726069957949221,0.15152512077003255,2673.1840659092554
label_print_queue,7984.4,0.00038010245189070704,0.038719916856890656,2661.4797000064364
sku_concentration,7976.0,0.0003056516230572015,0.020067713798893317,2658.673457788474
avg_trip_distance_scen_std,7912.0,0.0006246472359634936,0.043020691697740795,2637.3478817796445
target_roll5_mean,7874.0,0.04579021781682968,1.0815447081652025,2625.0424449753273
battery_cv_roll5_std,7812.2,0.0006266063312068582,0.052583425602539834,2604.0844033439776
target_ewm5,7761.8,0.0997081458568573,5.652410329485487,2589.184039491781
battery_cv_scen_min,7646.4,0.0005599549040198326,0.04726671345938817,2548.8159422227877
order_inflow_15m_lag2,7605.4,0.0007606746861711144,0.1960286682324193,2535.198929780973
order_inflow_15m_roll5_std,7509.6,0.0005508000263944268,0.054871369513189494,2503.2184740565135
order_per_station,7502.6,0.0012805377366021276,0.20460927929126185,2500.9352966056763
robot_density,7492.4,0.0005188891896978021,0.03949485685524801,2497.480004582015
pack_utilization_roll5_std,7423.0,0.0007696593878790736,0.08859966563411395,2474.3631231083405
target_roll3_mean,7355.4,0.035637255385518075,1.2235165875981093,2452.219717947661
order_inflow_15m_lag4,7325.6,0.0005327449180185795,0.07548440487787207,2441.8920057165988
target_ewm3,7251.8,0.08131527900695801,2.8418908307562263,2418.2410687032543
target_lag1_log,7177.4,0.03108629584312439,16.773919620646286,2398.0683353054965
order_inflow_15m_lag5,7188.8,0.0005449865362606943,0.11254711055779923,2396.304364032365
ops_x_pack,7159.2,0.001543356804177165,0.2587417790666705,2386.4867617119567
pack_utilization_lag4,7110.6,0.0010177757823839784,0.05144770081576731,2370.217488492199
ts_x_pack_utilization,7110.2,0.001157888351008296,0.11679606219421104,2370.1059846501817
ts_x_order_per_station,7032.0,0.0012279768707230687,0.14491289274780245,2344.0487136232064
building_age_years,6995.6,0.0004920266568660736,0.02704778691953693,2331.8758466045256
order_per_station_lag5,6956.4,0.0008064279914833606,0.11782215902375093,2318.8395428623385
