feature,cat_importance
inventory_turnover_rate,0.023132585533821137
robot_active_lag1,0.02309702168886989
wifi_signal_db,0.0230656298327507
bottle_neck_roll10_min,0.022988840557874445
safety_score_monthly,0.02278287598118317
order_pressure_lag3,0.022713829488096443
outbound_truck_wait_min_roll10_min,0.022704778852282427
racking_height_avg_m,0.022626803744050794
quality_check_rate,0.022623363672799414
robot_active_roll10_std,0.022607532973070162
congestion_score_roll10_min,0.02245003898506273
vertical_utilization,0.02230744501702857
robot_efficiency_roll10_max,0.022152411442779657
robot_firmware_update_days,0.022031561190181424
order_inflow_15m_roll5_min,0.021884812560380558
low_battery_ratio_roll3_min,0.021802179586722748
bottle_neck_roll5_min,0.021649763644401774
avg_recovery_time,0.021246579775504516
pack_utilization_lag1,0.021026114496960936
shift_handover_delay_min,0.020956510214206008
daily_forecast_accuracy,0.02066517631528069
order_per_station_lag4,0.020560717429423538
bottle_neck_roll5_mean,0.020500460895493712
bulk_order_ratio,0.02029245798935628
loading_dock_util,0.019948961683919537
robot_active_diff1,0.019930368682678397
congestion_score_lag5,0.01978325892989031
pack_utilization_roll3_mean,0.019648973607313026
robot_active_roll10_max,0.018882594270009025
robot_active_roll3_max,0.01872219513463252
outbound_truck_wait_min_roll5_min,0.018705899301453208
bottle_neck_roll3_mean,0.01870392043483034
battery_cv_lag2,0.018619313221978125
bottle_neck_lag2,0.018573621634470943
congestion_score_roll5_std,0.018536785766680546
order_inflow_15m_roll5_mean,0.018427039618269338
low_battery_ratio_roll10_std,0.017948064240950086
congestion_score_roll10_std,0.017856446617605663
battery_cv_roll3_mean,0.017662276254029958
low_battery_ratio_roll3_max,0.017553617711297275
battery_cv_roll5_std,0.016673628412509363
cumulative_orders,0.016651920316558773
outbound_truck_wait_min_roll10_mean,0.01661620571415303
battery_cv_roll10_min,0.016591339908066348
packaging_material_cost,0.0165045368797224
robot_efficiency_roll3_mean,0.016357364599662232
sort_accuracy_pct,0.01600681050385104
congestion_score_roll3_min,0.01584733958827444
heavy_item_ratio,0.015763154954483757
battery_cv_lag1,0.01559730302582366
battery_risk_scen_min,0.015378426345168778
order_per_station_diff1,0.015155120110772646
outbound_truck_wait_min_roll5_mean,0.014999384456658355
max_zone_density_roll3_min,0.014913381917060084
day_of_week_X_shift_hour_te,0.014501021087030788
order_inflow_15m_ewm_mean,0.014184630743844009
congestion_score_lag4,0.01412258207471595
battery_cv_roll5_max,0.014018777148656653
max_zone_density_roll5_max,0.013415746926449474
pack_utilization_diff1,0.012987738328034893
path_optimization_score,0.012773137589122671
maintenance_schedule_score,0.012564008292677245
battery_risk,0.012536434781162176
robot_idle_diff2,0.012517413109483205
outbound_truck_wait_min_roll3_max,0.012388780515801386
bottle_neck_lag5,0.01215807395110138
robot_efficiency_roll3_max,0.011891831717247302
risk_index_roll5_std,0.01187005099471337
low_battery_ratio_roll3_mean,0.011823237444923898
battery_risk_roll3_max,0.011635046843886008
prev_shift_volume,0.011599971385134116
layout_id_X_timeslot_te,0.011573960222490135
order_per_station_roll3_std,0.011526811892327295
battery_risk_lag2,0.011048194887977637
congestion_score_lag3,0.010980844652319103
congestion_score_lag1,0.0106686992699143
order_inflow_15m_roll5_std,0.0105938356992164
storage_density_pct,0.010446172308711704
pack_utilization_lag3,0.010435450086012779
layout_id_X_shift_hour_te,0.010342527067953144
staging_area_util,0.010304169458706127
bottle_neck_roll5_max,0.010274300682211062
intersection_wait_time_avg,0.01011809368519811
outbound_truck_wait_min_lag4,0.010044570663498292
order_inflow_15m_lag1,0.009928720322976772
outbound_truck_wait_min_lag2,0.009910444033353328
outbound_truck_wait_min_roll3_min,0.009374626437794398
outbound_truck_wait_min_diff2,0.009220427266635276
congestion_score_ewm_mean,0.009184147454913891
order_inflow_15m_lag2,0.008951192243864519
pack_utilization_lag2,0.00884073993200217
avg_trip_distance_roll10_std,0.00876906130864251
battery_cv_roll3_std,0.008556646133655695
robot_idle_lag2,0.008504419405173578
battery_risk_roll10_min,0.008373407642348884
staff_on_floor,0.008182916568753584
congestion_score_roll3_std,0.008005191384478796
conveyor_speed_mps,0.007787298210136158
order_inflow_15m_lag3,0.007708603686286561
battery_cv_roll5_min,0.007692372834793402
avg_package_weight_kg,0.007390622727329141
outbound_truck_wait_min,0.007120978098517488
outbound_truck_wait_min_ewm_mean,0.007014377910045366
robot_efficiency_roll5_std,0.006983372744568392
shift_hour_te,0.006945180579461356
order_inflow_15m_roll3_min,0.006856065771831786
zone_temp_variance,0.006768662227384684
order_inflow_15m_diff1,0.0067278280979630204
max_zone_density_roll10_std,0.006586398558658092
risk_index_lag3,0.006461640718927289
charge_queue_length,0.0064153784468009315
max_zone_density_lag3,0.006287729598007791
order_wave_count,0.0061738930854901754
battery_cycle_count_avg,0.006072290176784118
layout_type_X_shift_hour_te,0.006033291444466538
battery_std,0.005899798813556951
battery_cv_lag3,0.005547831367424029
avg_trip_distance_roll5_std,0.005502988909236964
forklift_active_count,0.005387254177225144
robot_idle_roll3_std,0.0052240318073613085
pack_utilization_roll5_std,0.005107114633574137
avg_trip_distance_diff2,0.004998321399851317
order_per_station_lag5,0.00498809110391667
low_battery_ratio_diff1,0.004953137589700252
low_battery_ratio_diff2,0.00492766542593054
outbound_truck_wait_min_lag1,0.004879745466104435
sku_concentration_diff1,0.0047561322089821915
battery_cv_diff2,0.004708173446408057
pack_utilization_roll5_max,0.004655475840581078
low_battery_ratio_lag4,0.004509566489176557
battery_cv_lag5,0.0043487090286205825
shift_hour,0.004287134960783567
robot_efficiency_diff2,0.004224758575355037
risk_index_lag2,0.0042179827337582
battery_risk_lag3,0.004100843055453621
order_inflow_15m_roll3_max,0.00399845099906017
max_zone_density_roll5_std,0.003967917963002369
battery_risk_diff2,0.003948401043126375
order_inflow_15m_lag5,0.003907541956282387
fleet_age_months_avg,0.0038258032597951117
battery_risk_roll3_mean,0.0037385598648531177
risk_index_roll3_std,0.0037009332366478584
pack_utilization_roll3_max,0.0036250118665543314
pack_utilization_lag4,0.0036167432330591388
outbound_truck_wait_min_roll3_std,0.0035334541572455747
sku_concentration_diff2,0.0032890576372684825
max_zone_density_lag4,0.0031637124049274977
bottle_neck_diff1,0.0031561521208432345
congestion_score_roll3_max,0.0031555464874743243
day_of_week_te,0.0031475026580119747
battery_risk_roll5_min,0.002900485692713951
order_inflow_15m_lag4,0.0028638462033753207
battery_risk_roll5_std,0.0027937308541944334
robot_total_diff2,0.0027491501824941124
low_battery_ratio_lag2,0.002685190424262799
congestion_score_roll5_max,0.002649636551024147
max_zone_density_lag2,0.0026479731583851805
robot_active_roll3_std,0.002627686870401924
battery_risk_roll3_min,0.0025285606059602984
congestion_score_diff2,0.0024224005224454423
battery_cv_diff1,0.0023645309259385594
battery_risk_lag1,0.0023314116679609854
battery_cv_lag4,0.002325631552044604
pack_utilization_roll3_std,0.002251130000863593
order_pressure_lag4,0.0021342202666570047
bottle_neck_roll3_std,0.002122605484475615
max_zone_density_roll3_std,0.002063304568663981
max_zone_density_diff1,0.00200468750243978
congestion_score_lag2,0.0018696713282183252
low_battery_ratio_lag3,0.001729383293546316
low_battery_ratio_roll5_min,0.0017205168559561242
low_battery_ratio_roll10_min,0.0016252648086709648
congestion_score_roll5_mean,0.0015514154718416985
battery_risk_lag5,0.0014624576887875547
avg_charge_wait,0.0014581353677893664
pack_utilization_roll10_max,0.001388021460853018
order_inflow_15m_diff2,0.0013512227871396842
battery_risk_diff1,0.0012089535349571958
avg_trip_distance_rel_to_scen,0.0010951261282680954
bottle_neck_lag4,0.001026218619150322
max_zone_density_diff2,0.0009376317830227365
bottle_neck_lag3,0.0009083305542674589
robot_total_diff1,0.000905991824731338
low_battery_ratio_roll3_std,0.0008478829608038233
congestion_score_roll3_mean,0.0007511475993997929
task_reassign_15m,0.0006713229903920594
outbound_truck_wait_min_roll5_max,0.0006364014950268022
robot_idle_roll5_std,0.0006339803509377912
order_inflow_15m_roll3_std,0.0006304148800927064
robot_active_diff2,0.0006245488981309994
low_battery_ratio_lag5,0.0006146777644288964
risk_index_diff2,0.0005590541428616125
battery_risk_roll3_std,0.0005372690656109838
risk_index_diff1,0.0004917357938632808
battery_risk_lag4,0.0004859634940916106
robot_efficiency_lag1,0.0004142268862005834
outbound_truck_wait_min_roll10_std,0.0003845733601833202
outbound_truck_wait_min_roll5_std,0.00037925854148858877
shift_hour_X_timeslot_te,0.00037608816375433714
robot_active_roll5_std,0.000318875689710712
outbound_truck_wait_min_lag5,0.00027861511802599367
avg_trip_distance_roll3_std,6.917998649409027e-05
robot_idle_diff1,3.627279231094926e-05
