q95,q98,low_scale,high95_scale,high98_scale,mae
38.69138354995313,44.471919839973495,0.99,1.015,1.04,8.474384969448272
38.69138354995313,44.471919839973495,0.995,1.02,1.02,8.474500443609049
38.69138354995313,44.471919839973495,0.9925,1.02,1.04,8.474506118013277
38.69138354995313,44.471919839973495,0.99,1.01,1.01,8.47460060759757
38.69138354995313,44.471919839973495,0.99,1.015,1.03,8.474675019062172
38.69138354995313,44.471919839973495,0.9925,1.02,1.03,8.474796167627177
38.69138354995313,44.471919839973495,0.99,1.015,1.02,8.47504339480477
38.69138354995313,44.471919839973495,0.9925,1.02,1.02,8.475164543369775
38.69138354995313,44.471919839973495,0.99,1.02,1.04,8.475305142590546
38.69138354995313,44.471919839973495,0.99,1.02,1.03,8.475595192204446
38.69138354995313,44.471919839973495,0.99,1.02,1.02,8.475963567947042
